Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000550
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Pressure [hPa];Batt Voltage [V];Logger Status
$;06:17:09;13:01:33;16.09.2020;Y;09;51 56.82342 N;014 35.36493 E;0.356;0.6;;77.7;45.625;31.500;26.199;1008.799;8.9;66679
$;06:17:11;13:01:35;16.09.2020;Y;09;51 56.82363 N;014 35.36473 E;0.343;0.6;;76.8;45.750;31.500;26.810;1008.840;8.9;66679
$;06:17:13;13:01:37;16.09.2020;Y;09;51 56.82369 N;014 35.36492 E;0.226;0.4;;76.5;45.625;31.625;27.153;1008.799;8.9;66679
$;06:17:15;13:01:39;16.09.2020;Y;09;51 56.82373 N;014 35.36499 E;0.144;0.2;;75.4;45.625;31.625;27.54;1008.650;8.9;66679
$;06:17:17;13:01:41;16.09.2020;Y;09;51 56.82380 N;014 35.36495 E;0.202;0.3;;76.7;45.500;31.750;27.184;1008.460;8.9;66679
$;06:17:19;13:01:43;16.09.2020;Y;09;51 56.82381 N;014 35.36486 E;0.623;1.1;;76.7;45.625;31.500;26.825;1008.799;8.9;66679
$;06:17:21;13:01:45;16.09.2020;Y;09;51 56.82363 N;014 35.36440 E;0.607;1.1;;77.6;45.625;31.750;26.871;1008.690;8.9;66679
$;06:17:23;13:01:47;16.09.2020;Y;09;51 56.82368 N;014 35.36387 E;0.457;0.8;;78.0;45.500;31.750;27.84;1008.789;8.9;66679
$;06:17:25;13:01:49;16.09.2020;Y;09;51 56.82402 N;014 35.36436 E;0.221;0.4;;77.0;45.625;31.875;27.107;1008.710;8.9;66679
$;06:17:27;13:01:51;16.09.2020;Y;09;51 56.82431 N;014 35.36441 E;0.245;0.4;;76.0;45.500;31.625;26.871;1008.739;8.9;66679
$;06:17:29;13:01:53;16.09.2020;Y;09;51 56.82457 N;014 35.36466 E;0.045;0.0;;75.6;45.750;31.875;26.344;1008.770;8.9;66679
$;06:17:31;13:01:55;16.09.2020;Y;09;51 56.82486 N;014 35.36451 E;0.543;1.0;;75.2;45.750;31.625;26.588;1008.669;8.9;66679
$;06:17:33;13:01:57;16.09.2020;Y;09;51 56.82538 N;014 35.36493 E;0.059;0.1;;73.3;45.750;31.875;26.650;1008.909;8.9;66679
$;06:17:35;13:01:59;16.09.2020;Y;09;51 56.82575 N;014 35.36528 E;0.084;0.1;;70.8;45.625;31.875;26.619;1008.760;8.9;66679
$;06:17:37;13:02:01;16.09.2020;Y;09;51 56.82583 N;014 35.36542 E;0.212;0.3;;70.7;45.750;32.125;26.245;1008.619;8.9;66679
$;06:17:39;13:02:03;16.09.2020;Y;09;51 56.82592 N;014 35.36543 E;0.152;0.2;;70.5;45.625;32.125;26.558;1008.750;8.9;66679
$;06:17:41;13:02:05;16.09.2020;Y;09;51 56.82589 N;014 35.36550 E;0.024;0.0;;71.8;45.625;32.250;26.840;1008.359;8.9;66679
$;06:17:43;13:02:07;16.09.2020;Y;09;51 56.82581 N;014 35.36559 E;0.034;0.0;;72.9;45.625;32.125;26.741;1008.750;8.9;66679
$;06:17:45;13:02:09;16.09.2020;Y;09;51 56.82575 N;014 35.36555 E;0.038;0.0;;74.5;45.625;32.250;25.650;1008.739;8.9;66679
$;06:17:47;13:02:11;16.09.2020;Y;09;51 56.82568 N;014 35.36579 E;0.020;0.0;;73.8;45.625;32.250;25.749;1008.809;8.9;66679
$;06:17:49;13:02:13;16.09.2020;Y;09;51 56.82535 N;014 35.36585 E;0.536;0.9;;73.8;45.625;32.250;25.803;1008.719;8.9;66679
$;06:17:51;13:02:15;16.09.2020;Y;09;51 56.82518 N;014 35.36605 E;0.111;0.2;;74.1;45.625;32.0;25.543;1008.780;8.9;66679
$;06:17:53;13:02:17;16.09.2020;Y;09;51 56.82509 N;014 35.36623 E;0.131;0.2;;74.6;45.625;32.250;25.551;1008.869;8.9;66679
$;06:17:55;13:02:19;16.09.2020;Y;09;51 56.82481 N;014 35.36624 E;0.185;0.3;;75.7;45.500;32.125;25.864;1008.750;8.9;66679
$;06:17:57;13:02:21;16.09.2020;Y;09;51 56.82488 N;014 35.36637 E;0.114;0.2;;75.3;45.750;32.250;26.665;1008.630;8.9;66679
$;06:17:59;13:02:23;16.09.2020;Y;09;51 56.82525 N;014 35.36667 E;0.243;0.4;;75.0;45.625;32.375;26.199;1008.929;8.9;66679
$;06:18:01;13:02:25;16.09.2020;Y;09;51 56.82513 N;014 35.36655 E;0.156;0.2;;75.7;45.750;32.0;26.444;1008.789;8.9;66679
$;06:18:03;13:02:27;16.09.2020;Y;09;51 56.82512 N;014 35.36652 E;0.178;0.3;;75.2;45.750;32.125;25.482;1008.809;8.9;66679
$;06:18:05;13:02:29;16.09.2020;Y;09;51 56.82491 N;014 35.36657 E;0.557;1.0;;74.3;45.750;32.125;25.505;1008.820;8.9;66679
$;06:18:07;13:02:31;16.09.2020;Y;09;51 56.82468 N;014 35.36637 E;0.070;0.1;;73.3;45.625;32.250;25.536;1008.760;8.9;66679
$;06:18:09;13:02:33;16.09.2020;Y;09;51 56.82461 N;014 35.36636 E;0.164;0.3;;73.4;45.625;32.125;26.344;1008.900;8.9;66679
$;06:18:11;13:02:35;16.09.2020;Y;09;51 56.82471 N;014 35.36677 E;0.085;0.1;;73.5;45.750;32.125;26.253;1008.789;8.9;66679
$;06:18:13;13:02:37;16.09.2020;Y;09;51 56.82484 N;014 35.36677 E;0.308;0.5;;72.9;45.625;32.125;26.436;1008.830;8.9;66679
$;06:18:15;13:02:39;16.09.2020;Y;09;51 56.82485 N;014 35.36664 E;0.228;0.4;;74.8;45.625;32.250;26.604;1008.700;8.9;66679
$;06:18:17;13:02:41;16.09.2020;Y;09;51 56.82480 N;014 35.36652 E;0.342;0.6;;74.5;45.750;32.500;25.551;1008.849;8.9;66679
$;06:18:19;13:02:43;16.09.2020;Y;09;51 56.82436 N;014 35.36699 E;0.040;0.0;;71.1;45.750;32.375;25.581;1008.890;8.9;66679
$;06:18:21;13:02:45;16.09.2020;Y;09;51 56.82440 N;014 35.36726 E;0.392;0.7;;72.0;45.625;32.250;25.764;1008.770;8.9;66679
$;06:18:23;13:02:47;16.09.2020;Y;09;51 56.82458 N;014 35.36746 E;0.025;0.0;;72.1;45.750;32.125;25.803;1008.960;8.9;66679
$;06:18:25;13:02:49;16.09.2020;Y;09;51 56.82480 N;014 35.36770 E;0.039;0.0;;71.1;45.500;32.250;26.657;1008.880;8.9;66679
$;06:18:27;13:02:51;16.09.2020;Y;09;51 56.82476 N;014 35.36753 E;0.343;0.6;;71.4;45.625;32.375;26.711;1008.789;8.9;66679
$;06:18:29;13:02:53;16.09.2020;Y;09;51 56.82493 N;014 35.36737 E;0.043;0.0;;72.0;45.750;32.250;26.413;1008.789;8.9;66679
$;06:18:31;13:02:55;16.09.2020;Y;09;51 56.82477 N;014 35.36708 E;0.317;0.5;;72.5;45.750;32.250;27.206;1008.359;8.9;66679
$;06:18:33;13:02:57;16.09.2020;Y;09;51 56.82499 N;014 35.36683 E;0.093;0.1;;73.4;45.625;32.625;26.894;1008.710;8.9;66679
$;06:18:35;13:02:59;16.09.2020;Y;09;51 56.82507 N;014 35.36677 E;0.504;0.9;;73.9;45.625;32.500;25.574;1008.890;8.9;66679
$;06:18:37;13:03:01;16.09.2020;Y;09;51 56.82474 N;014 35.36701 E;0.541;1.0;;74.3;45.750;32.375;25.558;1008.909;8.9;66679
$;06:18:39;13:03:03;16.09.2020;Y;09;51 56.82477 N;014 35.36731 E;0.155;0.2;;73.7;45.750;32.250;25.536;1008.799;8.9;66679
$;06:18:41;13:03:05;16.09.2020;Y;09;51 56.82473 N;014 35.36768 E;0.139;0.2;;74.8;45.625;32.375;25.719;1008.919;8.9;66679
$;06:18:43;13:03:07;16.09.2020;Y;09;51 56.82464 N;014 35.36811 E;0.207;0.3;;74.9;45.750;32.250;25.826;1008.890;8.9;66679
$;06:18:45;13:03:09;16.09.2020;Y;09;51 56.82479 N;014 35.36834 E;0.072;0.1;;74.4;45.625;32.250;27.39;1008.809;8.9;66679
$;06:18:47;13:03:11;16.09.2020;Y;09;51 56.82496 N;014 35.36840 E;0.149;0.2;;73.4;45.750;32.125;26.703;1008.859;8.9;66679
$;06:18:49;13:03:13;16.09.2020;Y;09;51 56.82541 N;014 35.36808 E;0.148;0.2;;74.1;45.625;32.375;26.390;1008.719;8.9;66679
$;06:18:51;13:03:15;16.09.2020;Y;09;51 56.82549 N;014 35.36809 E;0.320;0.5;;74.8;45.625;32.500;26.726;1008.349;8.9;66679
$;06:18:53;13:03:17;16.09.2020;Y;09;51 56.82508 N;014 35.36757 E;0.127;0.2;;74.4;45.750;32.750;25.536;1008.890;8.9;66679
$;06:18:55;13:03:19;16.09.2020;Y;09;51 56.82478 N;014 35.36765 E;0.136;0.2;;74.9;45.750;32.875;25.642;1008.830;8.9;66679
$;06:18:57;13:03:21;16.09.2020;Y;09;51 56.82445 N;014 35.36771 E;0.050;0.0;;74.3;45.750;32.625;25.642;1008.869;8.9;66679
$;06:18:59;13:03:23;16.09.2020;Y;09;51 56.82431 N;014 35.36794 E;0.074;0.1;;74.6;45.750;32.375;25.558;1008.780;8.9;66679
$;06:19:01;13:03:25;16.09.2020;Y;09;51 56.82425 N;014 35.36814 E;0.347;0.6;;75.7;45.750;32.500;25.566;1008.820;8.9;66679
$;06:19:03;13:03:27;16.09.2020;Y;09;51 56.82428 N;014 35.36802 E;0.075;0.1;;76.9;45.625;32.250;25.612;1008.770;8.9;66679
$;06:19:05;13:03:29;16.09.2020;Y;09;51 56.82429 N;014 35.36809 E;0.436;0.8;;78.2;45.750;32.250;25.658;1008.799;8.9;66679
$;06:19:07;13:03:31;16.09.2020;Y;09;51 56.82434 N;014 35.36815 E;0.103;0.1;;78.1;45.625;32.375;25.742;1008.650;8.9;66679
$;06:19:09;13:03:33;16.09.2020;Y;09;51 56.82423 N;014 35.36857 E;0.190;0.3;;78.4;45.625;32.375;25.749;1008.809;8.9;66679
$;06:19:11;13:03:35;16.09.2020;Y;09;51 56.82384 N;014 35.36851 E;0.130;0.2;;77.0;46.0;32.250;25.719;1008.809;8.9;66679
$;06:19:13;13:03:37;16.09.2020;Y;09;51 56.82370 N;014 35.36836 E;0.595;1.1;;76.4;45.750;32.250;26.932;1008.820;8.9;66679
$;06:19:15;13:03:39;16.09.2020;Y;09;51 56.82370 N;014 35.36824 E;0.251;0.4;;75.8;45.500;32.250;26.260;1008.659;8.9;66679
$;06:19:17;13:03:41;16.09.2020;Y;09;51 56.82364 N;014 35.36760 E;0.715;1.3;;77.1;45.875;32.125;26.512;1008.929;8.9;66679
$;06:19:19;13:03:43;16.09.2020;Y;09;51 56.82444 N;014 35.36732 E;0.719;1.3;;75.7;45.875;32.250;26.39;1008.820;8.9;66679
$;06:19:21;13:03:45;16.09.2020;Y;09;51 56.82505 N;014 35.36818 E;0.808;1.4;;73.3;45.625;32.125;25.665;1008.780;8.9;66679
$;06:19:23;13:03:47;16.09.2020;Y;09;51 56.82519 N;014 35.36851 E;0.288;0.5;;71.5;45.625;32.375;25.742;1008.760;8.9;66679
$;06:19:25;13:03:49;16.09.2020;Y;09;51 56.82532 N;014 35.36878 E;0.206;0.3;;71.9;45.750;32.125;25.810;1008.809;8.9;66679
$;06:19:27;13:03:51;16.09.2020;Y;09;51 56.82552 N;014 35.36855 E;0.167;0.3;;72.6;45.750;32.125;25.841;1008.719;8.9;66679
$;06:19:29;13:03:53;16.09.2020;Y;09;51 56.82540 N;014 35.36862 E;0.031;0.0;;72.7;45.625;32.125;25.879;1008.960;8.9;66679
$;06:19:31;13:03:55;16.09.2020;Y;09;51 56.82522 N;014 35.36863 E;0.272;0.5;;73.2;45.625;32.375;27.84;1008.640;8.9;66679
$;06:19:33;13:03:57;16.09.2020;Y;09;51 56.82502 N;014 35.36815 E;0.146;0.2;;73.4;45.625;32.125;26.550;1008.809;8.9;66679
$;06:19:35;13:03:59;16.09.2020;Y;09;51 56.82487 N;014 35.36747 E;0.309;0.5;;75.0;45.750;32.125;26.909;1008.710;8.9;66679
$;06:19:37;13:04:01;16.09.2020;Y;09;51 56.82500 N;014 35.36750 E;0.168;0.3;;75.0;45.750;32.375;25.879;1008.900;8.9;66679
$;06:19:39;13:04:03;16.09.2020;Y;09;51 56.82480 N;014 35.36759 E;0.048;0.0;;73.9;45.750;32.125;25.688;1008.830;8.9;66679
$;06:19:41;13:04:05;16.09.2020;Y;09;51 56.82497 N;014 35.36750 E;0.184;0.3;;75.4;45.625;32.125;25.620;1008.900;8.9;66679
$;06:19:43;13:04:07;16.09.2020;Y;09;51 56.82477 N;014 35.36731 E;0.397;0.7;;76.4;45.875;32.125;25.673;1008.799;8.9;66679
$;06:19:45;13:04:09;16.09.2020;Y;09;51 56.82486 N;014 35.36733 E;0.194;0.3;;77.0;45.875;32.125;26.863;1008.700;8.9;66679
$;06:19:47;13:04:11;16.09.2020;Y;09;51 56.82510 N;014 35.36741 E;0.417;0.7;;75.9;45.750;32.125;26.413;1008.690;8.9;66679
$;06:19:49;13:04:13;16.09.2020;Y;09;51 56.82536 N;014 35.36730 E;0.258;0.4;;75.4;45.625;32.250;27.77;1008.340;8.9;66679
$;06:19:51;13:04:15;16.09.2020;Y;09;51 56.82532 N;014 35.36723 E;0.302;0.5;;76.0;45.750;32.250;27.283;1008.849;8.9;66679
$;06:19:53;13:04:17;16.09.2020;Y;09;51 56.82511 N;014 35.36741 E;0.171;0.3;;75.0;45.625;32.375;25.658;1008.950;8.9;66679
$;06:19:55;13:04:19;16.09.2020;Y;09;51 56.82488 N;014 35.36754 E;0.254;0.4;;74.8;46.0;32.125;25.780;1008.799;8.9;66679
$;06:19:57;13:04:21;16.09.2020;Y;09;51 56.82493 N;014 35.36762 E;0.083;0.1;;74.5;45.625;32.125;25.841;1008.940;8.9;66679
$;06:19:59;13:04:23;16.09.2020;Y;09;51 56.82486 N;014 35.36783 E;0.146;0.2;;75.1;45.750;32.0;25.978;1008.849;8.9;66679
$;06:20:01;13:04:25;16.09.2020;Y;09;51 56.82481 N;014 35.36792 E;0.500;0.9;;75.5;45.750;32.125;26.16;1008.940;8.9;66679
$;06:20:03;13:04:27;16.09.2020;Y;09;51 56.82458 N;014 35.36804 E;0.096;0.1;;74.7;46.0;32.0;26.344;1008.729;8.9;66679
$;06:20:05;13:04:29;16.09.2020;Y;09;51 56.82461 N;014 35.36807 E;0.214;0.3;;73.2;45.875;32.125;27.115;1008.359;8.9;66679
$;06:20:07;13:04:31;16.09.2020;Y;09;51 56.82449 N;014 35.36828 E;0.341;0.6;;74.1;45.875;32.250;27.870;1008.729;8.9;66679
$;06:20:09;13:04:33;16.09.2020;Y;09;51 56.82427 N;014 35.36806 E;0.118;0.2;;74.9;45.750;32.250;26.1;1008.919;8.9;66679
$;06:20:11;13:04:35;16.09.2020;Y;09;51 56.82397 N;014 35.36837 E;0.053;0.0;;73.1;45.750;32.125;25.871;1008.909;8.9;66679
$;06:20:13;13:04:37;16.09.2020;Y;09;51 56.82418 N;014 35.36804 E;0.252;0.4;;74.1;45.625;32.125;25.970;1008.919;8.9;66679
$;06:20:15;13:04:39;16.09.2020;Y;09;51 56.82418 N;014 35.36818 E;0.164;0.3;;74.8;45.750;32.125;26.39;1008.780;8.9;66679
$;06:20:17;13:04:41;16.09.2020;Y;09;51 56.82419 N;014 35.36848 E;0.111;0.2;;75.4;45.750;32.125;27.321;1008.880;8.9;66679
$;06:20:19;13:04:43;16.09.2020;Y;09;51 56.82435 N;014 35.36851 E;0.071;0.1;;75.5;45.875;32.125;26.886;1008.840;8.9;66679
$;06:20:21;13:04:45;16.09.2020;Y;09;51 56.82459 N;014 35.36856 E;0.122;0.2;;76.8;45.875;32.250;26.573;1008.809;8.9;66679
$;06:20:23;13:04:47;16.09.2020;Y;09;51 56.82456 N;014 35.36840 E;0.499;0.9;;77.5;45.875;32.125;27.191;1008.400;8.9;66679
$;06:20:25;13:04:49;16.09.2020;Y;09;51 56.82439 N;014 35.36826 E;0.268;0.4;;78.2;45.875;32.125;27.283;1008.299;8.9;66679
$;06:20:27;13:04:51;16.09.2020;Y;09;51 56.82439 N;014 35.36793 E;0.060;0.1;;79.1;45.750;32.250;26.703;1008.750;8.9;66679
$;06:20:29;13:04:53;16.09.2020;Y;09;51 56.82433 N;014 35.36790 E;0.288;0.5;;77.9;45.875;32.125;26.32;1008.820;8.9;66679
$;06:20:31;13:04:55;16.09.2020;Y;09;51 56.82437 N;014 35.36763 E;0.372;0.6;;78.2;45.625;32.125;26.108;1008.729;8.9;66679
$;06:20:33;13:04:57;16.09.2020;Y;09;51 56.82391 N;014 35.36750 E;0.238;0.4;;78.1;45.625;32.125;27.252;1008.770;8.9;66679
$;06:20:35;13:04:59;16.09.2020;Y;09;51 56.82427 N;014 35.36766 E;0.099;0.1;;78.0;45.625;32.250;26.93;1008.840;8.9;66679
$;06:20:37;13:05:01;16.09.2020;Y;09;51 56.82442 N;014 35.36806 E;0.140;0.2;;76.9;45.875;32.0;26.863;1008.380;8.9;66679
$;06:20:39;13:05:03;16.09.2020;Y;09;51 56.82435 N;014 35.36776 E;0.094;0.1;;77.5;46.0;32.125;26.192;1008.869;8.9;66679
$;06:20:41;13:05:05;16.09.2020;Y;09;51 56.82494 N;014 35.36836 E;0.187;0.3;;76.2;45.875;32.0;26.161;1008.840;8.9;66679
$;06:20:43;13:05:07;16.09.2020;Y;09;51 56.82505 N;014 35.36889 E;0.289;0.5;;75.6;45.875;32.0;28.282;1008.940;8.9;66679
$;06:20:45;13:05:09;16.09.2020;Y;09;51 56.82515 N;014 35.36898 E;0.440;0.8;;76.0;46.0;32.250;26.665;1008.979;8.9;66679
$;06:20:47;13:05:11;16.09.2020;Y;09;51 56.82514 N;014 35.36889 E;0.194;0.3;;76.6;45.750;32.125;27.405;1008.830;8.9;66679
$;06:20:49;13:05:13;16.09.2020;Y;09;51 56.82532 N;014 35.36868 E;0.282;0.5;;76.7;45.875;32.125;26.367;1008.950;8.9;66679
$;06:20:51;13:05:15;16.09.2020;Y;09;51 56.82523 N;014 35.36907 E;0.026;0.0;;76.9;45.750;32.0;26.299;1008.859;8.9;66679
$;06:20:53;13:05:17;16.09.2020;Y;09;51 56.82549 N;014 35.36964 E;0.077;0.1;;77.3;45.750;32.0;26.413;1008.820;8.9;66679
$;06:20:55;13:05:19;16.09.2020;Y;09;51 56.82540 N;014 35.36980 E;0.178;0.3;;77.4;46.0;31.875;26.512;1008.799;8.9;66679
$;06:20:57;13:05:21;16.09.2020;Y;09;51 56.82544 N;014 35.36997 E;0.047;0.0;;77.2;45.875;32.0;26.581;1008.760;8.9;66679
$;06:20:59;13:05:23;16.09.2020;Y;09;51 56.82513 N;014 35.36991 E;0.069;0.1;;76.5;46.0;31.875;26.627;1008.849;8.9;66679
$;06:21:01;13:05:25;16.09.2020;Y;09;51 56.82502 N;014 35.36983 E;0.171;0.3;;76.0;45.750;31.875;28.725;1008.700;8.9;66679
$;06:21:03;13:05:27;16.09.2020;Y;09;51 56.82483 N;014 35.36959 E;0.056;0.1;;73.7;45.875;31.750;28.30;1008.919;8.9;66679
$;06:21:05;13:05:29;16.09.2020;Y;09;51 56.82481 N;014 35.36899 E;0.135;0.2;;75.0;45.750;32.125;27.885;1008.640;8.9;66679
$;06:21:07;13:05:31;16.09.2020;Y;09;51 56.82492 N;014 35.36863 E;0.468;0.8;;74.9;45.875;31.875;27.664;1008.409;8.9;66679
$;06:21:09;13:05:33;16.09.2020;Y;08;51 56.82493 N;014 35.36847 E;0.508;0.9;;75.7;45.750;32.0;27.191;1008.609;8.9;66679
$;06:21:11;13:05:35;16.09.2020;Y;09;51 56.82514 N;014 35.36835 E;0.651;1.2;;76.5;46.0;31.875;27.573;1008.710;8.9;66679
$;06:21:13;13:05:37;16.09.2020;Y;09;51 56.82490 N;014 35.36792 E;0.267;0.4;;75.8;46.0;31.875;28.603;1008.880;8.9;66679
$;06:21:15;13:05:39;16.09.2020;Y;09;51 56.82550 N;014 35.36789 E;0.334;0.6;;73.5;46.0;32.125;26.779;1008.789;8.9;66679
$;06:21:17;13:05:41;16.09.2020;Y;09;51 56.82542 N;014 35.36782 E;0.171;0.3;;75.4;45.875;32.125;26.764;1008.820;8.9;66679
$;06:21:19;13:05:43;16.09.2020;Y;09;51 56.82564 N;014 35.36815 E;0.301;0.5;;75.9;45.875;31.875;27.741;1008.739;8.9;66679
$;06:21:21;13:05:45;16.09.2020;Y;09;51 56.82570 N;014 35.36815 E;0.279;0.5;;76.4;45.875;31.750;28.114;1008.919;8.9;66679
$;06:21:23;13:05:47;16.09.2020;Y;09;51 56.82584 N;014 35.36810 E;0.280;0.5;;76.3;45.750;32.0;26.993;1008.789;8.9;66679
$;06:21:25;13:05:49;16.09.2020;Y;09;51 56.82562 N;014 35.36810 E;0.118;0.2;;75.3;45.750;31.875;26.939;1008.770;8.9;66679
$;06:21:27;13:05:51;16.09.2020;Y;09;51 56.82562 N;014 35.36778 E;0.186;0.3;;74.7;45.875;32.0;27.718;1008.469;8.9;66679
$;06:21:29;13:05:53;16.09.2020;Y;09;51 56.82566 N;014 35.36795 E;0.025;0.0;;75.2;45.750;31.875;28.435;1008.799;8.9;66679
$;06:21:31;13:05:55;16.09.2020;Y;09;51 56.82586 N;014 35.36814 E;0.243;0.4;;75.2;45.625;31.875;27.61;1008.809;8.9;66679
$;06:21:33;13:05:57;16.09.2020;Y;09;51 56.82599 N;014 35.36832 E;0.108;0.2;;74.8;45.750;31.625;27.8;1008.739;8.9;66679
$;06:21:35;13:05:59;16.09.2020;Y;09;51 56.82585 N;014 35.36857 E;0.221;0.4;;74.0;46.0;31.750;27.23;1008.739;8.9;66679
$;06:21:37;13:06:01;16.09.2020;Y;09;51 56.82596 N;014 35.36883 E;0.118;0.2;;74.1;45.875;31.750;27.832;1008.809;8.9;66679
$;06:21:39;13:06:03;16.09.2020;Y;09;51 56.82591 N;014 35.36854 E;0.058;0.1;;73.2;45.875;31.875;27.924;1008.380;8.9;66679
$;06:21:41;13:06:05;16.09.2020;Y;09;51 56.82580 N;014 35.36830 E;0.071;0.1;;73.9;45.875;31.625;27.771;1008.690;8.9;66679
$;06:21:43;13:06:07;16.09.2020;Y;09;51 56.82590 N;014 35.36807 E;0.072;0.1;;75.2;46.0;31.625;28.870;1008.609;8.9;66679
$;06:21:45;13:06:09;16.09.2020;Y;09;51 56.82602 N;014 35.36809 E;0.237;0.4;;74.5;45.875;31.750;27.123;1008.799;8.9;66679
$;06:21:47;13:06:11;16.09.2020;Y;09;51 56.82599 N;014 35.36805 E;0.027;0.0;;75.3;45.875;31.750;27.84;1008.900;8.9;66679
$;06:21:49;13:06:13;16.09.2020;Y;09;51 56.82599 N;014 35.36808 E;0.060;0.1;;74.9;45.750;31.750;27.123;1008.770;8.9;66679
$;06:21:51;13:06:15;16.09.2020;Y;09;51 56.82598 N;014 35.36831 E;0.051;0.0;;75.0;45.750;31.875;27.130;1008.750;8.9;66679
$;06:21:53;13:06:17;16.09.2020;Y;09;51 56.82587 N;014 35.36840 E;0.317;0.5;;73.9;45.875;31.750;27.145;1008.799;8.9;66679
$;06:21:55;13:06:19;16.09.2020;Y;09;51 56.82588 N;014 35.36850 E;0.055;0.1;;73.6;45.875;31.750;27.306;1008.880;8.9;66679
$;06:21:57;13:06:21;16.09.2020;Y;09;51 56.82582 N;014 35.36846 E;0.009;0.0;;72.7;46.0;31.625;28.328;1008.719;8.9;66679
$;06:21:59;13:06:23;16.09.2020;Y;09;51 56.82603 N;014 35.36868 E;0.037;0.0;;71.8;45.875;31.750;27.657;1008.679;8.9;66679
$;06:22:01;13:06:25;16.09.2020;Y;09;51 56.82580 N;014 35.36893 E;0.137;0.2;;72.0;46.0;31.750;27.664;1008.739;8.9;66679
$;06:22:03;13:06:27;16.09.2020;Y;09;51 56.82581 N;014 35.36874 E;0.063;0.1;;72.5;46.0;31.875;28.0;1008.500;8.9;66679
$;06:22:05;13:06:29;16.09.2020;Y;09;51 56.82586 N;014 35.36880 E;0.242;0.4;;73.6;45.875;31.750;28.267;1008.809;8.9;66679
$;06:22:07;13:06:31;16.09.2020;Y;09;51 56.82552 N;014 35.36832 E;0.131;0.2;;72.9;45.750;32.0;27.123;1008.900;8.9;66679
$;06:22:09;13:06:33;16.09.2020;Y;09;51 56.82536 N;014 35.36835 E;0.267;0.4;;73.0;45.875;31.625;27.191;1008.780;8.9;66679
$;06:22:11;13:06:35;16.09.2020;Y;09;51 56.82530 N;014 35.36867 E;0.068;0.1;;72.7;45.750;31.750;27.344;1008.960;8.9;66679
$;06:22:13;13:06:37;16.09.2020;Y;09;51 56.82509 N;014 35.36888 E;0.279;0.5;;72.9;46.0;31.750;27.313;1008.770;8.9;66679
$;06:22:15;13:06:39;16.09.2020;Y;09;51 56.82520 N;014 35.36887 E;0.393;0.7;;74.2;45.875;31.625;28.160;1008.780;8.9;66679
$;06:22:17;13:06:41;16.09.2020;Y;09;51 56.82529 N;014 35.36882 E;0.096;0.1;;72.9;46.0;31.875;27.924;1008.729;8.9;66679
$;06:22:19;13:06:43;16.09.2020;Y;09;51 56.82524 N;014 35.36871 E;0.182;0.3;;72.7;46.125;31.750;28.114;1008.440;8.9;66679
$;06:22:21;13:06:45;16.09.2020;Y;09;51 56.82547 N;014 35.36838 E;0.041;0.0;;73.1;45.875;31.750;28.214;1008.750;8.9;66679
$;06:22:23;13:06:47;16.09.2020;Y;09;51 56.82540 N;014 35.36809 E;0.234;0.4;;71.9;45.875;32.0;27.245;1008.909;8.9;66679
$;06:22:25;13:06:49;16.09.2020;Y;09;51 56.82528 N;014 35.36790 E;0.058;0.1;;71.4;45.750;31.625;27.306;1008.700;8.9;66679
$;06:22:27;13:06:51;16.09.2020;Y;09;51 56.82523 N;014 35.36799 E;0.031;0.0;;70.8;45.875;31.875;27.451;1008.659;8.9;66679
$;06:22:29;13:06:53;16.09.2020;Y;09;51 56.82526 N;014 35.36803 E;0.460;0.8;;71.5;45.875;31.750;27.405;1008.640;8.9;66679
$;06:22:31;13:06:55;16.09.2020;Y;09;51 56.82538 N;014 35.36795 E;0.645;1.1;275.67;70.9;46.0;31.875;28.183;1008.739;8.9;66679
$;06:22:33;13:06:57;16.09.2020;Y;09;51 56.82555 N;014 35.36797 E;0.137;0.2;;71.5;46.0;31.750;27.924;1008.739;8.9;66679
$;06:22:35;13:06:59;16.09.2020;Y;09;51 56.82571 N;014 35.36777 E;0.323;0.5;;71.7;45.875;31.625;28.122;1008.619;8.9;66679
$;06:22:37;13:07:01;16.09.2020;Y;09;51 56.82613 N;014 35.36768 E;0.458;0.8;;73.5;46.0;31.750;28.374;1008.859;8.9;66679
$;06:22:39;13:07:03;16.09.2020;Y;09;51 56.82593 N;014 35.36730 E;0.836;1.5;;74.0;45.875;31.750;27.351;1008.760;8.9;66679
$;06:22:41;13:07:05;16.09.2020;Y;09;51 56.82601 N;014 35.36742 E;0.132;0.2;;72.3;45.875;31.875;27.420;1008.840;8.9;66679
$;06:22:43;13:07:07;16.09.2020;Y;09;51 56.82597 N;014 35.36764 E;0.374;0.6;;72.7;45.875;31.875;27.550;1008.830;8.9;66679
$;06:22:45;13:07:09;16.09.2020;Y;09;51 56.82641 N;014 35.36812 E;0.198;0.3;;73.4;45.875;31.750;27.496;1008.739;8.9;66679
$;06:22:47;13:07:11;16.09.2020;Y;09;51 56.82651 N;014 35.36863 E;0.091;0.1;;73.3;46.125;31.750;28.534;1008.770;8.9;66679
